,actual values,predicted values
12092,[-0.86816526],[-1.03696749]
12093,[2.58237449],[1.83146079]
12094,[0.71902575],[0.43032521]
12095,[0.11791937],[0.09096438]
12096,[1.2593461],[1.79755077]
12097,[-1.15183344],[-1.2092801]
12098,[-0.09145477],[-0.24101505]
12099,[-1.54356569],[-0.95981035]
12100,[-0.53046505],[-0.54617878]
12101,[-0.67229914],[-0.5780289]
12102,[-0.40889297],[-0.31461806]
12103,[-1.13832543],[-0.79959687]
12104,[0.9554159],[0.43414185]
12105,[-0.39538496],[-0.07970013]
12106,[1.29311612],[0.5779748]
12107,[-1.05052338],[-1.28213832]
12108,[-0.66554513],[-0.34626694]
12109,[-0.1387328],[-0.48840496]
12110,[0.28001547],[0.14326542]
12111,[0.4826356],[0.21301642]
12112,[-0.02391472],[0.15926342]
12113,[-0.462925],[-0.51599272]
12114,[0.07739534],[0.27269938]
12115,[-1.40848561],[-1.38800661]
12116,[-1.00324535],[-1.04824343]
12117,[2.50883689],[2.5403521]
12118,[-0.52371104],[-0.69446545]
12119,[0.58394567],[0.67982212]
12120,[-1.04452582],[-0.85571136]
12121,[2.30621677],[2.06960928]
12122,[-0.39538496],[-0.51093263]
12123,[-0.1387328],[-0.42958948]
12124,[-1.27340552],[-1.2137004]
12125,[-1.34094556],[-1.23763883]
12126,[1.2593461],[1.61242549]
12127,[2.84653711],[2.78314292]
12128,[-0.84452625],[-0.62951608]
12129,[1.4281962],[1.70661918]
12130,[-0.62502111],[-0.59490662]
12131,[-0.39538496],[-0.22396653]
12132,[-0.462925],[-0.61333649]
12133,[-0.28056689],[-0.41427702]
12134,[0.17870541],[0.27780937]
12135,[-0.66554513],[-0.26759189]
12136,[-0.44266299],[-0.22962708]
12137,[-0.9357053],[-0.78427829]
12138,[-1.00324535],[-0.89428374]
12139,[-0.00365271],[0.34590214]
12140,[-0.36161494],[-0.63693249]
12141,[-0.85465725],[-0.82634799]
12142,[-1.57733571],[-1.57270872]
12143,[-0.81413323],[-0.5457176]
12144,[-1.03701537],[-0.8793854]
12145,[-0.02391472],[-0.34030809]
12146,[-0.31433691],[0.35689951]
12147,[-0.90193528],[-0.72727004]
12148,[-0.44941699],[-0.24125519]
12149,[0.65148571],[0.34001016]
12150,[-1.27340552],[-1.23749428]
12151,[0.71902575],[0.81478851]
12152,[1.87396049],[2.13138226]
12153,[0.31378549],[-0.03624917]
12154,[-0.32784492],[-0.58904529]
12155,[-0.26030487],[-0.04553344]
12156,[-0.47643301],[-0.48993935]
12157,[2.19139869],[0.897252]
12158,[-0.63177511],[-0.6382254]
12159,[-0.15899481],[-0.31236613]
12160,[0.08414935],[-0.36832102]
12161,[1.35989971],[0.87843075]
12162,[0.17870541],[0.30387391]
12163,[-0.19276483],[-0.21207437]
12164,[-0.05768474],[0.1647622]
12165,[-0.12522479],[-0.1981793]
12166,[-1.15183344],[-1.27800867]
12167,[0.67174772],[0.66061983]
12168,[-0.34135292],[-0.54273339]
12169,[0.53666764],[0.600715]
12170,[-0.88167327],[-1.0413586]
12171,[-1.17209546],[-0.9072158]
12172,[-0.86816526],[-0.71115347]
12173,[0.04362532],[0.04627431]
12174,[3.11669728],[3.21111433]
12175,[1.32688614],[1.22594039]
12176,[-0.69931515],[-0.55040473]
12177,[-0.12522479],[-0.08590072]
12178,[-1.19235747],[-1.17834331]
12179,[-0.15899481],[0.47156246]
12180,[-0.462925],[-0.08917956]
12181,[0.41509556],[0.08824]
12182,[0.16444095],[-0.03363251]
12183,[-0.36161494],[-0.59104776]
12184,[0.71902575],[0.2381302]
12185,[0.25975346],[0.42080549]
12186,[1.00944794],[1.46127455]
12187,[-0.59800509],[-0.12342688]
12188,[-0.9357053],[-0.96591311]
12189,[-0.67980959],[-0.56630761]
12190,[-0.86816526],[-1.05074092]
12191,[-1.00324535],[-0.75380047]
12192,[0.51640562],[-0.0546651]
12193,[0.58394567],[0.91916856]
12194,[0.04362532],[0.13795966]
12195,[-0.56423507],[-0.60358177]
12196,[-0.56423507],[-0.5028289]
12197,[-0.22653485],[-0.06995734]
12198,[-0.29407489],[-0.33327311]
12199,[-0.26030487],[-0.18721476]
12200,[0.41509556],[0.6510031]
12201,[-1.01675336],[-0.92961879]
12202,[-1.13832543],[-0.86165176]
12203,[2.88030713],[3.0543965]
12204,[-0.59800509],[-0.32742626]
12205,[0.17870541],[0.39719017]
12206,[-0.47043546],[-0.41094795]
12207,[1.15803603],[1.173447]
12208,[0.17870541],[-0.23363076]
12209,[-0.58449708],[-0.46546325]
12210,[-0.76010119],[-0.66728498]
12211,[0.09090335],[-0.00388319]
12212,[-0.67229914],[-0.71177612]
12213,[-1.0842934],[-0.82312071]
12214,[-0.32784492],[-0.58863551]
12215,[1.63081633],[1.1073761]
12216,[-0.13273524],[0.10219666]
12217,[-0.57774308],[-0.6784913]
12218,[0.21247543],[-0.00756145]
12219,[-0.53046505],[-0.45168864]
12220,[0.0098553],[0.05231088]
12221,[-0.64528312],[-0.72066131]
12222,[0.00234485],[-0.16835585]
12223,[-1.00324535],[-0.60859986]
12224,[0.0098553],[0.464995]
12225,[-1.34094556],[-1.06123603]
12226,[0.17870541],[0.07002616]
12227,[0.40158755],[-0.06372149]
12228,[0.55017564],[-0.22001436]
12229,[0.11791937],[0.93282601]
12230,[-0.96947533],[-0.79809179]
12231,[-0.12522479],[0.36174066]
12232,[0.4826356],[0.65351087]
12233,[-0.462925],[-0.56180421]
12234,[-0.1387328],[-0.31739727]
12235,[0.67174772],[0.01861274]
12236,[0.72577976],[0.32543068]
12237,[-0.05768474],[-0.15228848]
12238,[0.67174772],[0.60507762]
12239,[1.29311612],[2.1831647]
12240,[2.06982661],[2.0165917]
12241,[-0.59800509],[-0.35938095]
12242,[0.61771569],[0.19025846]
12243,[0.26650746],[0.01651681]
12244,[0.79256335],[0.83007056]
12245,[0.41509556],[0.13213835]
12246,[-1.10455541],[-0.93266394]
12247,[0.34755551],[0.78582273]
12248,[-0.49669502],[0.17633822]
12249,[1.49573625],[1.94371735]
12250,[0.82033582],[0.71538685]
12251,[-0.84790325],[-0.82109923]
12252,[-0.86816526],[-0.91617331]
12253,[-0.32784492],[-0.34227263]
12254,[-0.12522479],[0.05599937]
12255,[-0.32784492],[-0.49132899]
12256,[0.67174772],[0.71856833]
12257,[-0.78036321],[-0.56175671]
12258,[-1.05052338],[-1.02691867]
12259,[-0.05768474],[-0.18812847]
12260,[0.40158755],[0.35506111]
12261,[-0.53046505],[-0.78904394]
12262,[-0.56423507],[-0.60442135]
12263,[1.49573625],[1.86646627]
12264,[-0.56423507],[-0.57206577]
12265,[-0.74659318],[-0.48375938]
12266,[1.35052516],[0.90433627]
12267,[0.28001547],[0.59045018]
12268,[0.22936044],[0.3408106]
12269,[0.44886558],[0.48681904]
12270,[-0.15899481],[-0.32358083]
12271,[-0.15899481],[-0.00828139]
12272,[1.8874685],[1.3767945]
12273,[1.09049599],[1.70330919]
12274,[-1.13832543],[-0.99333698]
12275,[0.17119495],[0.31920491]
12276,[-1.38822359],[-1.56190614]
12277,[-0.54397305],[-0.59744568]
12278,[0.68525573],[0.05193527]
12279,[0.0098553],[-0.46651034]
12280,[0.4826356],[0.52286776]
12281,[-0.90193528],[-1.05527182]
12282,[0.69125329],[0.5419461]
12283,[0.34755551],[0.39160126]
12284,[-1.09780141],[-0.97261543]
12285,[-0.24004286],[-0.57232302]
12286,[-0.29407489],[-0.25391106]
12287,[0.4826356],[0.58515951]
12288,[-0.21978085],[-0.03165628]
12289,[0.92164588],[0.13007016]
12290,[0.65148571],[1.1521338]
12291,[-0.32784492],[-0.08576483]
12292,[-0.55748106],[-0.60455603]
12293,[-0.39538496],[0.11382793]
12294,[-0.80062522],[-0.89664388]
12295,[1.02295595],[0.98782269]
12296,[-0.25355087],[-0.5272209]
12297,[0.60420768],[1.00027342]
12298,[-0.63177511],[-0.16660054]
12299,[-0.12522479],[-0.21393056]
12300,[-0.36161494],[-0.35770299]
12301,[1.76589642],[1.12814457]
12302,[1.93474653],[1.95348928]
12303,[-0.38187695],[-0.65923007]
12304,[-0.80062522],[-0.54567222]
12305,[-0.07119275],[-0.06219425]
12306,[-0.59800509],[-0.50063634]
12307,[-1.34094556],[-1.50928747]
12308,[-0.05768474],[-0.17699441]
12309,[1.02295595],[0.50602954]
12310,[-0.51020303],[-0.61301141]
12311,[-1.34094556],[-1.23152249]
12312,[-0.12522479],[-0.06443515]
12313,[0.12467337],[0.18552686]
12314,[0.46912759],[0.15170281]
12315,[-0.26030487],[-0.05059241]
12316,[0.90138387],[1.06698529]
12317,[-0.12522479],[-0.26630619]
12318,[-1.05727738],[-0.56913768]
12319,[1.00944794],[0.81919811]
12320,[-0.26030487],[0.00603489]
12321,[-1.50979567],[-1.29991643]
12322,[0.9554159],[1.44699771]
12323,[-0.94245931],[-0.76170376]
12324,[-0.09145477],[0.12533462]
12325,[-1.52330368],[-1.48514037]
12326,[0.21247543],[-0.22265981]
12327,[-0.12522479],[0.09516777]
12328,[0.55017564],[0.4173872]
12329,[1.19180605],[0.94039774]
12330,[0.0098553],[0.30858933]
12331,[0.50289761],[0.15799372]
12332,[-0.05768474],[-0.36491625]
12333,[0.66161672],[0.4391255]
12334,[-0.59800509],[-0.31688986]
12335,[-0.80062522],[-1.04443602]
12336,[0.4826356],[-0.02610018]
12337,[-0.98973734],[-1.11961664]
12338,[2.44129685],[3.14305676]
12339,[-0.00702971],[-0.16784785]
12340,[0.59069967],[0.55995397]
12341,[0.41509556],[0.63446019]
12342,[-0.1387328],[-0.01818437]
12343,[-0.07119275],[0.02956036]
12344,[0.1651974],[0.23209606]
12345,[-1.10455541],[-1.27418821]
12346,[-0.96947533],[-1.1419633]
12347,[-1.03701537],[-1.15147547]
12348,[-0.1454868],[0.15725956]
12349,[-0.83439524],[-1.05303641]
12350,[-0.56423507],[-0.25980181]
12351,[0.0098553],[0.14696897]
12352,[0.4826356],[0.56660699]
12353,[-0.76010119],[-0.52224202]
12354,[-0.9357053],[-1.02034345]
12355,[1.104004],[0.82782714]
12356,[-0.20627284],[-0.11532763]
12357,[0.11116536],[0.06612999]
12358,[0.14493539],[-0.44937779]
12359,[-0.42240098],[-0.00683]
12360,[-0.91544329],[-0.79899258]
12361,[-0.53046505],[-0.60908768]
12362,[1.7321264],[1.92340102]
12363,[-0.25430732],[-0.23233475]
12364,[-0.32784492],[-0.5909895]
12365,[0.75279577],[0.72964602]
12366,[-0.15899481],[-0.30301149]
12367,[-0.15899481],[-0.26877848]
12368,[-0.80062522],[-1.03981106]
12369,[0.28001547],[0.37229179]
12370,[-0.74659318],[-0.58614181]
12371,[0.82033582],[0.73706814]
12372,[0.80682781],[1.56965016]
12373,[-0.84790325],[-0.87823873]
12374,[0.22598344],[0.2910686]
12375,[-0.29407489],[-0.45904557]
12376,[2.30621677],[2.38035724]
12377,[0.58394567],[0.49344665]
12378,[-1.03701537],[-1.30151587]
12379,[-0.07119275],[0.05597711]
12380,[-0.66554513],[-0.71305195]
12381,[0.11116536],[0.56254851]
12382,[-0.88167327],[-1.01259075]
12383,[1.66458636],[2.85854787]
12384,[-0.83439524],[-0.98788912]
12385,[-0.15899481],[-0.35025327]
12386,[-0.36161494],[0.08387067]
12387,[-0.44941699],[-0.58490104]
12388,[1.56327629],[1.25595821]
12389,[-0.59800509],[-0.33004206]
12390,[0.55017564],[0.30698225]
12391,[-0.59800509],[-0.29683996]
12392,[-0.26030487],[0.01760951]
12393,[0.82033582],[0.39663463]
12394,[-0.15899481],[-0.14077263]
12395,[-1.04376937],[-0.9848682]
12396,[-0.9357053],[-0.72489391]
12397,[1.90097651],[1.49540257]
12398,[0.83384383],[0.15223545]
12399,[-1.30717554],[-1.42147791]
12400,[0.24624545],[0.33096562]
12401,[-0.37512295],[-0.25408616]
12402,[-0.66554513],[-0.62604061]
12403,[-0.47643301],[-0.8064167]
12404,[-0.90193528],[-0.97179338]
12405,[-0.80138167],[-0.59529942]
12406,[-0.73308517],[-0.49505079]
12407,[0.21247543],[0.63763802]
12408,[1.02295595],[1.20093229]
12409,[0.58394567],[1.04948009]
12410,[-1.36120758],[-1.4949224]
12411,[0.1651974],[-0.2979156]
12412,[0.09090335],[0.26524852]
12413,[1.4281962],[1.21090172]
12414,[-1.20586548],[-1.29670386]
12415,[-1.00324535],[-1.0732031]
12416,[-0.81413323],[-0.60504929]
12417,[-0.18601083],[-0.29460933]
12418,[1.14452802],[0.61571096]
12419,[-0.59800509],[-0.48023705]
12420,[2.46755642],[2.52704487]
12421,[-0.6115131],[-0.29967832]
12422,[0.1651974],[-0.44788048]
12423,[-1.13832543],[-1.13061711]
12424,[2.30621677],[2.20425675]
12425,[0.88787586],[1.0930902]
12426,[-0.80062522],[-0.79818041]
12427,[1.52950627],[1.8169585]
12428,[-0.69931515],[-0.42625199]
12429,[2.2049067],[2.06880601]
12430,[-0.9357053],[-0.77599829]
12431,[0.51640562],[0.59171576]
12432,[-0.29407489],[-0.30836351]
12433,[-0.80062522],[-0.75678203]
12434,[-0.91544329],[-1.09609956]
12435,[-0.34135292],[0.13728723]
12436,[-0.22653485],[-0.13866162]
12437,[2.10359664],[2.06799854]
12438,[1.76589642],[2.10556124]
12439,[-0.22653485],[-0.2909212]
12440,[-1.14507944],[-1.01641589]
12441,[-1.07078539],[-1.12360243]
12442,[-0.15899481],[0.07061857]
12443,[1.19180605],[0.73188509]
12444,[0.06388733],[0.38748436]
12445,[-1.21937349],[-1.23660272]
12446,[-0.45692745],[-0.23695996]
12447,[0.11116536],[-0.04497803]
12448,[-1.21937349],[-1.14530207]
12449,[-0.80062522],[-0.71345851]
12450,[0.21247543],[0.17794055]
12451,[0.49614361],[0.94317683]
12452,[1.23157363],[1.02696782]
12453,[-0.64528312],[-0.6502303]
12454,[2.00228657],[2.10713826]
12455,[-0.80062522],[-0.94794022]
12456,[-0.42915498],[-0.24410263]
12457,[-1.17209546],[-1.23705705]
12458,[-0.1387328],[-0.1631398]
12459,[-0.22653485],[0.54458559]
12460,[-0.462925],[-0.20802711]
12461,[1.34714815],[1.59657874]
12462,[-0.1387328],[-0.3725174]
12463,[-0.62502111],[-0.55076469]
12464,[-0.00365271],[-0.12418011]
12465,[-0.05573959],[-0.36061982]
12466,[-0.17250282],[0.04313184]
12467,[-0.36161494],[-0.14059352]
12468,[2.44129685],[1.98192756]
12469,[-0.59800509],[-0.34143928]
12470,[-0.36161494],[-0.31232774]
12471,[-0.89518128],[-1.00408053]
12472,[-0.12522479],[-0.03789873]
12473,[0.03687132],[0.01338039]
12474,[-0.05768474],[0.20485502]
12475,[-1.27340552],[-0.6434616]
12476,[-0.88918372],[-0.98832109]
12477,[0.56368365],[0.5238028]
12478,[-0.73308517],[-0.84035196]
12479,[-0.9221973],[-0.64946719]
12480,[1.39442618],[0.64430184]
12481,[-0.11171678],[-0.17929181]
12482,[-1.13832543],[-0.9504132]
12483,[-0.92970775],[-0.83667705]
12484,[2.61014696],[2.97892771]
12485,[-0.29407489],[-0.22173028]
12486,[-1.20586548],[-1.03995702]
12487,[0.41509556],[0.23339575]
12488,[-1.50979567],[-1.44799808]
12489,[-0.48318702],[-0.55733933]
12490,[0.11716292],[-0.219095]
12491,[-0.07119275],[-0.12068047]
12492,[0.07739534],[-0.18247541]
12493,[-0.462925],[0.18038784]
12494,[2.77899707],[2.02768511]
12495,[-1.0842934],[-1.0497224]
12496,[-0.15899481],[-0.29716682]
12497,[-0.05768474],[-0.0394208]
12498,[-1.23288149],[-1.03974914]
12499,[1.74428361],[1.84135682]
12500,[0.26650746],[0.0724461]
12501,[-0.59800509],[-0.27339516]
12502,[-0.51020303],[-0.52403002]
12503,[3.50842953],[3.22094465]
12504,[-0.56423507],[-0.48574861]
12505,[-0.26030487],[-0.20097118]
12506,[-1.47602565],[-1.46718139]
12507,[2.84653711],[3.02186211]
12508,[0.67174772],[1.11957189]
12509,[1.09049599],[0.62974786]
12510,[-0.07794676],[-0.5240276]
12511,[-0.10496277],[-0.31074681]
12512,[0.80682781],[1.03301467]
12513,[-0.53046505],[-0.68046688]
12514,[3.82586774],[3.68020979]
12515,[-1.0842934],[-1.15655949]
12516,[0.07739534],[0.13303646]
12517,[-0.66554513],[-0.65179665]
12518,[-0.32784492],[-0.38709047]
12519,[2.50883689],[1.05556446]
12520,[-1.03701537],[-0.90886279]
12521,[0.13142738],[0.09991024]
12522,[0.7865658],[0.83085168]
12523,[-0.36161494],[-0.61869795]
12524,[-0.59800509],[-0.6298838]
12525,[-0.19276483],[-0.10328125]
12526,[-0.58449708],[-0.70536644]
12527,[-0.29407489],[0.25378655]
12528,[2.74522705],[1.90051977]
12529,[-0.02391472],[0.03110283]
12530,[-0.28056689],[-0.57490293]
12531,[1.24583809],[1.39200571]
12532,[-1.2396355],[-1.20261633]
12533,[-1.46251764],[-1.14097028]
12534,[-0.49669502],[-0.49032263]
12535,[-0.86816526],[-0.50255622]
12536,[0.17870541],[0.2224027]
12537,[-0.96947533],[-1.13391589]
12538,[-0.36161494],[0.07183583]
12539,[1.05672597],[0.69960344]
12540,[-0.19276483],[0.06205181]
12541,[1.63081633],[1.61691645]
12542,[-0.26030487],[0.05234664]
12543,[-0.07119275],[-0.11299297]
12544,[0.42860357],[-0.06673987]
12545,[-0.26030487],[-0.20702169]
12546,[-0.68580714],[-0.63061075]
12547,[-0.19276483],[-0.37123393]
12548,[-0.98973734],[-0.95780637]
12549,[0.28001547],[-0.02110494]
12550,[3.50767308],[3.4021834]
12551,[1.23908408],[1.1004632]
12552,[-0.9357053],[-0.43296947]
12553,[1.28560567],[1.98980657]
12554,[0.41509556],[0.1177053]
12555,[-0.32784492],[-0.33143799]
12556,[0.75279577],[1.46908141]
12557,[-1.03701537],[-1.16249806]
12558,[-0.462925],[-0.4443594]
12559,[0.14493539],[-0.01932507]
12560,[0.14493539],[-0.05754721]
12561,[1.09049599],[1.18807484]
12562,[-0.53046505],[-0.29778519]
12563,[-1.10455541],[-1.04157856]
12564,[0.67174772],[0.59874904]
12565,[-0.05768474],[0.61515754]
12566,[-0.63177511],[-0.50658778]
12567,[1.34714815],[1.745851]
12568,[-0.59200753],[-0.6936726]
12569,[1.7321264],[1.13283546]
12570,[-0.32784492],[-0.28338396]
12571,[-1.20586548],[-1.01979476]
12572,[-0.32784492],[-0.55459146]
12573,[2.33998679],[2.28431558]
12574,[0.06388733],[-0.03460425]
12575,[-1.19235747],[-1.15606621]
12576,[0.16444095],[0.04945566]
12577,[-0.02391472],[-0.50296732]
12578,[-0.22653485],[0.05860173]
12579,[2.03605659],[1.97381136]
12580,[-0.05768474],[0.39775953]
12581,[-0.53046505],[-0.43827596]
12582,[1.76589642],[1.49981384]
12583,[-0.83439524],[-0.74961275]
12584,[-0.26030487],[0.79290868]
12585,[-0.63177511],[-0.9475883]
12586,[-1.07078539],[-1.25179663]
12587,[-0.53046505],[-0.3748224]
12588,[0.11116536],[0.65131987]
12589,[-0.67905314],[-0.73815772]
12590,[-1.2396355],[-1.22097023]
12591,[-0.73308517],[-0.56797717]
12592,[-0.39538496],[-0.23094776]
12593,[0.55017564],[0.8323565]
12594,[-0.462925],[-0.64176479]
12595,[-0.09145477],[-0.08810854]
12596,[1.19180605],[1.34553652]
12597,[-1.37471558],[-1.59846904]
12598,[-0.80062522],[-0.65262538]
12599,[0.88787586],[0.66716617]
12600,[-1.61110574],[-1.55217789]
12601,[-0.86816526],[-0.53183374]
12602,[0.51640562],[0.65455413]
12603,[-0.42915498],[-0.01715557]
12604,[0.14493539],[-0.04313964]
12605,[-0.96947533],[-1.08436675]
12606,[0.55017564],[0.12502043]
12607,[-0.09145477],[-0.01100191]
12608,[0.65148571],[0.89468366]
12609,[-0.35486093],[-0.23217606]
12610,[-0.26781533],[-0.33580739]
12611,[0.24624545],[0.50792053]
12612,[2.39401882],[2.26570745]
12613,[-0.9357053],[-0.93909337]
12614,[-0.49669502],[-0.77140331]
12615,[-0.7668552],[-0.605815]
12616,[0.21247543],[-0.02267524]
12617,[-0.47643301],[-0.49618355]
12618,[2.72496503],[2.41516565]
12619,[-0.56423507],[-0.59632609]
12620,[-0.12522479],[-0.03847441]
12621,[1.96851655],[1.85181466]
12622,[-0.53046505],[-0.59525929]
12623,[-0.94921331],[-0.60463793]
12624,[-0.15899481],[-0.08271838]
12625,[-1.00324535],[-0.89014447]
12626,[-0.9357053],[-0.5689693]
12627,[-0.53721905],[-0.83642158]
12628,[-0.86816526],[-0.84845407]
12629,[2.31972477],[1.88827733]
12630,[0.05037933],[0.02343189]
12631,[-1.06478783],[-1.17462228]
12632,[0.90138387],[1.26213527]
12633,[-0.26030487],[-0.30726744]
12634,[0.61771569],[1.10019608]
12635,[0.24624545],[-0.13651788]
12636,[1.02295595],[0.66114172]
12637,[0.61771569],[0.41209042]
12638,[1.39442618],[1.73872076]
12639,[-0.39538496],[-0.19835249]
12640,[-0.26030487],[-0.18280905]
12641,[0.74528532],[0.67496222]
12642,[3.6097396],[3.15123008]
12643,[-0.26030487],[-0.22541161]
12644,[-0.66554513],[-0.61909955]
12645,[-1.32068355],[-1.07023763]
12646,[-0.26030487],[-0.24308259]
12647,[-0.34135292],[0.32872022]
12648,[-0.83439524],[-0.83155986]
12649,[-1.54356569],[-1.70966133]
12650,[2.23867672],[2.56888123]
12651,[1.86720648],[1.42059716]
12652,[-0.50344903],[-0.68848396]
12653,[-0.462925],[-0.08111434]
12654,[0.75279577],[0.80525399]
12655,[-0.09145477],[-0.10298923]
12656,[-1.03701537],[-0.6614716]
12657,[-0.9357053],[-1.07081657]
12658,[-0.39538496],[-0.19126076]
12659,[2.33998679],[1.683863]
12660,[-1.35445357],[-1.16788446]
12661,[0.09090335],[-0.03792163]
12662,[-0.18676727],[-0.24976682]
12663,[-0.34135292],[-0.26835431]
12664,[0.19896742],[0.31846973]
12665,[-0.462925],[-0.26664277]
12666,[-0.9221973],[-1.11941945]
12667,[-0.15899481],[-0.35575214]
12668,[-0.73308517],[-0.39200176]
12669,[-0.49669502],[0.26874427]
12670,[0.11116536],[0.19048496]
12671,[-0.29407489],[-0.48320477]
12672,[-0.44941699],[0.07854164]
12673,[1.2593461],[1.1021079]
12674,[1.00944794],[0.90593341]
12675,[2.3602488],[2.06982988]
12676,[0.87436785],[0.94518248]
12677,[-0.27381288],[-0.21581739]
12678,[1.86720648],[1.85412968]
12679,[-0.17925682],[-0.32739418]
12680,[1.85969603],[2.49233181]
12681,[-0.64528312],[-0.84659146]
12682,[-0.04417674],[0.03566253]
12683,[2.29270876],[1.79352224]
12684,[-0.05768474],[-0.1478457]
12685,[0.77846099],[0.06989986]
12686,[-0.18676727],[0.09563119]
12687,[-0.03742273],[-0.03220485]
12688,[-0.66554513],[-0.67113613]
12689,[0.82033582],[0.81715674]
12690,[0.71902575],[1.51477928]
12691,[-0.96947533],[-1.04050321]
12692,[0.37727313],[0.90451942]
12693,[0.3272935],[0.35626011]
12694,[-0.26030487],[-0.30224546]
12695,[0.7865658],[1.01987178]
12696,[0.98918592],[0.76246913]
12697,[0.4008311],[0.25964182]
12698,[0.06388733],[0.03405741]
12699,[2.00228657],[1.83516029]
12700,[-0.36161494],[-0.40151918]
12701,[-0.91544329],[-0.77396768]
12702,[0.9554159],[1.03540724]
12703,[1.32688614],[1.9526709]
12704,[-0.38187695],[-0.45699481]
12705,[-1.15183344],[-1.151324]
12706,[0.44886558],[0.31742417]
12707,[0.9554159],[0.80218712]
12708,[-0.78787366],[-1.10655293]
12709,[-0.58449708],[-0.42901989]
12710,[-0.86816526],[-0.57186573]
12711,[0.38132554],[-0.1829382]
12712,[3.03564923],[2.58377796]
12713,[-1.05727738],[-1.11794862]
12714,[-1.01675336],[-0.85343121]
12715,[2.44129685],[2.72698617]
12716,[-0.39538496],[-0.07120415]
12717,[0.51640562],[0.12585807]
12718,[2.56286893],[2.16934644]
12719,[1.4146882],[0.28315362]
12720,[1.32688614],[1.26264753]
12721,[0.82033582],[0.55216696]
12722,[-1.30717554],[-1.1422322]
12723,[-1.27340552],[-1.06348469]
12724,[-0.48394346],[-0.53393516]
12725,[-0.84790325],[-0.66680961]
12726,[-0.07119275],[-0.26350643]
12727,[-0.78036321],[-0.53458505]
12728,[-0.49669502],[-0.44673764]
12729,[-0.28132333],[-0.33431937]
12730,[-0.08470076],[0.00876769]
12731,[-0.15899481],[-0.08021315]
12732,[-0.66554513],[-0.74612453]
12733,[-0.74659318],[-0.73390857]
12734,[-0.40889297],[-0.79675794]
12735,[1.22557608],[1.06697561]
12736,[0.04362532],[0.1071934]
12737,[-0.62502111],[-0.23878337]
12738,[-0.26030487],[-0.57314914]
12739,[1.50249025],[1.53629026]
12740,[-0.70606916],[-0.7281957]
12741,[-0.02391472],[-0.31584322]
12742,[-0.34135292],[-0.14349974]
12743,[-0.96947533],[-0.93588256]
12744,[0.00310129],[-0.00686511]
12745,[-0.80062522],[-0.91467336]
12746,[-0.50344903],[-0.52552806]
12747,[-0.71957717],[-0.55109705]
12748,[-0.90193528],[-0.8353703]
12749,[-0.00365271],[-0.18536438]
12750,[-0.19276483],[-0.19300141]
12751,[-0.00365271],[-0.08344507]
12752,[-0.20027528],[-0.45122229]
12753,[0.11116536],[0.70638019]
12754,[-0.65203712],[-0.86885756]
12755,[-0.39538496],[-0.54616996]
12756,[0.73928776],[0.90942486]
12757,[1.76589642],[2.00306518]
12758,[3.4543975],[2.60273886]
12759,[-0.19276483],[-0.16190276]
12760,[1.22557608],[0.72117442]
12761,[0.9554159],[0.99785459]
12762,[-0.05768474],[-0.09962391]
12763,[1.00944794],[0.78328909]
12764,[0.65148571],[0.84365961]
12765,[-0.46967901],[-0.03521118]
12766,[-0.12522479],[-0.44520553]
12767,[-0.53721905],[-0.32266135]
12768,[0.17870541],[0.21619003]
12769,[-0.00365271],[0.19846784]
12770,[0.11116536],[0.08595394]
12771,[-0.02391472],[-0.08780476]
12772,[0.41509556],[0.48310179]
12773,[0.31378549],[0.58561456]
12774,[-0.20627284],[-0.3896129]
12775,[-1.5570737],[-1.51306094]
12776,[-1.01675336],[-0.95747775]
12777,[0.44886558],[0.47710318]
12778,[1.66458636],[1.99324852]
12779,[0.65148571],[0.46326755]
12780,[1.75576541],[1.5519308]
12781,[2.64391698],[3.13191257]
12782,[1.12426601],[1.49749606]
12783,[0.67174772],[0.51099764]
12784,[-0.17250282],[-0.22195982]
12785,[-0.19276483],[-0.42069385]
12786,[0.71902575],[-0.0858666]
12787,[0.0098553],[-0.07430146]
12788,[-0.12522479],[-0.34481257]
12789,[-0.12522479],[0.14301968]
12790,[-0.27381288],[-0.39277344]
12791,[2.17113668],[2.19288085]
12792,[-0.29407489],[-0.25268432]
12793,[-0.15899481],[-0.11568341]
12794,[-0.09145477],[-0.27532524]
12795,[0.85410584],[1.32700053]
12796,[0.9554159],[0.81520701]
12797,[-0.98973734],[-0.90610736]
12798,[-0.11171678],[0.31976549]
12799,[-0.83439524],[-0.55465875]
12800,[-0.05768474],[0.03453742]
12801,[-0.12522479],[-0.06136687]
12802,[-0.53046505],[-0.61898404]
12803,[0.58394567],[1.15742296]
12804,[0.35355307],[-0.04661156]
12805,[-0.83439524],[-0.76961559]
12806,[-0.81413323],[-0.79441125]
12807,[0.65148571],[1.23256521]
12808,[-1.07078539],[-1.2674549]
12809,[-1.00324535],[-0.55141723]
12810,[-0.49669502],[-0.57288457]
12811,[0.15844339],[0.45269209]
12812,[-0.56423507],[-0.67839555]
12813,[-0.36161494],[-0.0688796]
12814,[-0.34135292],[-0.21804689]
12815,[0.85410584],[0.0157887]
12816,[-0.39538496],[-0.0477566]
12817,[-0.19951883],[-0.3081498]
12818,[-0.462925],[-0.62356371]
12819,[-0.15899481],[-0.21921075]
12820,[0.34755551],[0.42312891]
